"gene","sample","value"
"Anxa3","CK_0w_m1",-0.158799804346039
"Arid1a","CK_0w_m1",0.155740640155938
"Gng10","CK_0w_m1",-0.291548552143787
"Tanc2","CK_0w_m1",0.142442638135786
"Il10ra","CK_0w_m1",-0.348034731703188
"Il6ra","CK_0w_m1",0.183101926852728
"Frmd4a","CK_0w_m1",-0.0262062588927314
"Grk4","CK_0w_m1",0.562033561218529
"Synj2bp","CK_0w_m1",0.442312414908368
"Arhgap5","CK_0w_m1",-0.23821915379573
"Stab1","CK_0w_m1",0.165903865100542
"Coro1a","CK_0w_m1",-0.253370085618357
"Itgb5","CK_0w_m1",-0.0823853502072565
"Pla2g15","CK_0w_m1",-0.141054873725694
"Sall1","CK_0w_m1",0.0206362327935203
"Srsf5","CK_0w_m1",-0.3581809884706
"Celf2","CK_0w_m1",-0.0267707912033055
"Gm17644","CK_0w_m1",0.46864889104139
"Lcp1","CK_0w_m1",-0.207652584659936
"Abca9","CK_0w_m1",0.176262222792659
"Anxa3","CKp25_0w_m1",-0.33173248739621
"Arid1a","CKp25_0w_m1",-0.0510850674360726
"Gng10","CKp25_0w_m1",-0.331508965974046
"Tanc2","CKp25_0w_m1",0.0302856698791666
"Il10ra","CKp25_0w_m1",-0.380736804721737
"Il6ra","CKp25_0w_m1",0.236932207496771
"Frmd4a","CKp25_0w_m1",-0.0628673468523324
"Grk4","CKp25_0w_m1",0.56395205321713
"Synj2bp","CKp25_0w_m1",0.515882475409763
"Arhgap5","CKp25_0w_m1",-0.104428229660665
"Stab1","CKp25_0w_m1",0.0385737734256762
"Coro1a","CKp25_0w_m1",-0.389733281419453
"Itgb5","CKp25_0w_m1",-0.298528518444242
"Pla2g15","CKp25_0w_m1",-0.273167588299335
"Sall1","CKp25_0w_m1",0.07700368623616
"Srsf5","CKp25_0w_m1",-0.336814002561206
"Celf2","CKp25_0w_m1",-0.00499433757602333
"Gm17644","CKp25_0w_m1",0.484034583363865
"Lcp1","CKp25_0w_m1",-0.437267218386822
"Abca9","CKp25_0w_m1",0.153555370232989
"Anxa3","CK_2w_m2",0.337990600427802
"Arid1a","CK_2w_m2",0.283294133787581
"Gng10","CK_2w_m2",0.426304495503437
"Tanc2","CK_2w_m2",0.30622379110119
"Il10ra","CK_2w_m2",0.506137590102031
"Il6ra","CK_2w_m2",0.0927534771990573
"Frmd4a","CK_2w_m2",0.232827647820332
"Grk4","CK_2w_m2",-0.254162712315792
"Synj2bp","CK_2w_m2",-0.268972095253413
"Arhgap5","CK_2w_m2",0.567165110707869
"Stab1","CK_2w_m2",0.178116415568751
"Coro1a","CK_2w_m2",0.426836429308452
"Itgb5","CK_2w_m2",0.368892617235395
"Pla2g15","CK_2w_m2",0.350721303038142
"Sall1","CK_2w_m2",0.291607069639251
"Srsf5","CK_2w_m2",0.567948117214686
"Celf2","CK_2w_m2",0.310243015457669
"Gm17644","CK_2w_m2",-0.178866017552436
"Lcp1","CK_2w_m2",0.318070004479339
"Abca9","CK_2w_m2",0.296113547863134
"Anxa3","CKp25_2w_m2",0.152541691314448
"Arid1a","CKp25_2w_m2",-0.387949706507447
"Gng10","CKp25_2w_m2",0.196753022614396
"Tanc2","CKp25_2w_m2",-0.478952099116143
"Il10ra","CKp25_2w_m2",0.222633946322895
"Il6ra","CKp25_2w_m2",-0.512787611548556
"Frmd4a","CKp25_2w_m2",-0.143754042075269
"Grk4","CKp25_2w_m2",-0.871822902119868
"Synj2bp","CKp25_2w_m2",-0.689222795064717
"Arhgap5","CKp25_2w_m2",-0.224517727251474
"Stab1","CKp25_2w_m2",-0.382594054094969
"Coro1a","CKp25_2w_m2",0.216266937729358
"Itgb5","CKp25_2w_m2",0.0120212514161034
"Pla2g15","CKp25_2w_m2",0.0635011589868881
"Sall1","CKp25_2w_m2",-0.389246988668931
"Srsf5","CKp25_2w_m2",0.12704687381712
"Celf2","CKp25_2w_m2",-0.27847788667834
"Gm17644","CKp25_2w_m2",-0.773817456852819
"Lcp1","CKp25_2w_m2",0.326849798567419
"Abca9","CKp25_2w_m2",-0.625931140888782
