"term","selected","universe","pathway_in_universe","overlap","p_value","genes","fdr"
"B cell receptor signaling pathway",50,1860,16,3,0.00800093255617198,"JUN;RASGRP3;VAV1",0.860061060642105
"T cell receptor signaling pathway",50,1860,16,3,0.00800093255617198,"PTPRC;JUN;VAV1",0.860061060642105
"Focal adhesion",50,1860,31,4,0.00851545604596144,"ARHGAP5;ITGB5;JUN;VAV1",0.860061060642105
"PI3K-Akt signaling pathway",50,1860,37,4,0.0158771056627676,"GNG10;IL6RA;ITGB5;SGK1",1
"Toll-like receptor signaling pathway",50,1860,11,2,0.0333679682621356,"JUN;IRF5",1
"Chemokine signaling pathway",50,1860,30,3,0.0445769199001105,"GNG10;GRK4;VAV1",1
"Non-alcoholic fatty liver disease (NAFLD)",50,1860,13,2,0.0457338381673721,"IL6RA;JUN",1
"Morphine addiction",50,1860,14,2,0.0524558713474736,"GNG10;GRK4",1
"RNA transport",50,1860,14,2,0.0524558713474736,"EIF1;EIF4A2",1
"Cocaine addiction",50,1860,2,1,0.0530548855610894,"JUN",1
"MAPK signaling pathway",50,1860,35,3,0.0654736367321287,"JUN;RASGRP3;DUSP6",1
"Human cytomegalovirus infection",50,1860,38,3,0.0798268572104904,"GNG10;IL10RA;IL6RA",1
"JAK-STAT signaling pathway",50,1860,18,2,0.0824193682876234,"IL10RA;IL6RA",1
"Relaxin signaling pathway",50,1860,18,2,0.0824193682876234,"GNG10;JUN",1
"Th17 cell differentiation",50,1860,18,2,0.0824193682876234,"IL6RA;JUN",1
"Pathways in cancer",50,1860,66,4,0.0983566932264675,"GNG10;IL6RA;JUN;RASGRP3",1
"Complement and coagulation cascades",50,1860,4,1,0.103348306556482,"PROS1",1
"Primary immunodeficiency",50,1860,4,1,0.103348306556482,"PTPRC",1
"Leukocyte transendothelial migration",50,1860,21,2,0.107560328031901,"ARHGAP5;VAV1",1
"cAMP signaling pathway",50,1860,22,2,0.116351852268657,"JUN;VAV1",1
"Phagosome",50,1860,23,2,0.125321493815976,"CORO1A;ITGB5",1
"Tight junction",50,1860,23,2,0.125321493815976,"ACTR2;JUN",1
"Aldosterone-regulated sodium reabsorption",50,1860,5,1,0.127503793987611,"SGK1",1
"ECM-receptor interaction",50,1860,6,1,0.151021211939428,"ITGB5",1
"IL-17 signaling pathway",50,1860,6,1,0.151021211939428,"JUN",1
"TNF signaling pathway",50,1860,6,1,0.151021211939428,"JUN",1
"Fc gamma R-mediated phagocytosis",50,1860,26,2,0.153148129262707,"PTPRC;VAV1",1
"Cytokine-cytokine receptor interaction",50,1860,30,2,0.191881560197192,"IL10RA;IL6RA",1
"Rap1 signaling pathway",50,1860,30,2,0.191881560197192,"RASGRP3;FYB",1
"ABC transporters",50,1860,8,1,0.196207498790185,"ABCA9",1
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",50,1860,8,1,0.196207498790185,"ITGB5",1
"Pertussis",50,1860,8,1,0.196207498790185,"JUN",1
"Rheumatoid arthritis",50,1860,8,1,0.196207498790185,"JUN",1
"Human immunodeficiency virus 1 infection",50,1860,31,2,0.201774036888709,"GNG10;JUN",1
"Kaposi sarcoma-associated herpesvirus infection",50,1860,31,2,0.201774036888709,"GNG10;JUN",1
"Tuberculosis",50,1860,31,2,0.201774036888709,"IL10RA;CORO1A",1
"Amphetamine addiction",50,1860,9,1,0.217908160269932,"JUN",1
"GABAergic synapse",50,1860,9,1,0.217908160269932,"GNG10",1
"Inflammatory bowel disease (IBD)",50,1860,9,1,0.217908160269932,"JUN",1
"Mitophagy",50,1860,9,1,0.217908160269932,"JUN",1
"Ras signaling pathway",50,1860,33,2,0.221733238548751,"GNG10;RASGRP3",1
"Hypertrophic cardiomyopathy (HCM)",50,1860,10,1,0.239034357993596,"ITGB5",1
"Regulation of actin cytoskeleton",50,1860,35,2,0.241859248509575,"ITGB5;VAV1",1
"Acute myeloid leukemia",50,1860,11,1,0.259600996966742,"DUSP6",1
"Alcoholism",50,1860,11,1,0.259600996966742,"GNG10",1
"Circadian entrainment",50,1860,11,1,0.259600996966742,"GNG10",1
"Dilated cardiomyopathy (DCM)",50,1860,11,1,0.259600996966742,"ITGB5",1
"Renal cell carcinoma",50,1860,11,1,0.259600996966742,"JUN",1
"Serotonergic synapse",50,1860,11,1,0.259600996966742,"GNG10",1
"Cell adhesion molecules (CAMs)",50,1860,12,1,0.279622603322428,"PTPRC",1
"Glutamatergic synapse",50,1860,12,1,0.279622603322428,"GNG10",1
"Leishmaniasis",50,1860,12,1,0.279622603322428,"JUN",1
"Olfactory transduction",50,1860,12,1,0.279622603322428,"OLFR613",1
"Retrograde endocannabinoid signaling",50,1860,12,1,0.279622603322428,"GNG10",1
"Colorectal cancer",50,1860,14,1,0.318086984706212,"JUN",1
"Estrogen signaling pathway",50,1860,14,1,0.318086984706212,"JUN",1
"Fc epsilon RI signaling pathway",50,1860,14,1,0.318086984706212,"VAV1",1
"Glycerophospholipid metabolism",50,1860,14,1,0.318086984706212,"PLA2G15",1
"Hematopoietic cell lineage",50,1860,14,1,0.318086984706212,"IL6RA",1
"Toxoplasmosis",50,1860,14,1,0.318086984706212,"IL10RA",1
"ErbB signaling pathway",50,1860,15,1,0.336557001371807,"JUN",1
"GnRH signaling pathway",50,1860,15,1,0.336557001371807,"JUN",1
"Signaling pathways regulating pluripotency of stem cells",50,1860,15,1,0.336557001371807,"SKIL",1
"Th1 and Th2 cell differentiation",50,1860,15,1,0.336557001371807,"JUN",1
"Endocytosis",50,1860,45,2,0.342696918328403,"GRK4;GIT2",1
"AMPK signaling pathway",50,1860,16,1,0.354536486429482,"RAB14",1
"Apoptosis",50,1860,16,1,0.354536486429482,"JUN",1
"Breast cancer",50,1860,16,1,0.354536486429482,"JUN",1
