"term","selected","universe","pathway_in_universe","overlap","p_value","genes","fdr"
"Hematopoietic cell lineage",100,1860,14,4,0.00518887628850983,"IL6RA;CD14;CD34;IL4RA",1
"Citrate cycle (TCA cycle)",100,1860,3,2,0.00828739327939353,"SDHA;ACLY",1
"Non-alcoholic fatty liver disease (NAFLD)",100,1860,13,3,0.0290882209096376,"IL6RA;MLXIPL;SDHA",1
"Phagosome",100,1860,23,4,0.0316357336778054,"SEC61A1;ATP6V0A2;NCF2;CD14",1
"PI3K-Akt signaling pathway",100,1860,37,5,0.0449973052159378,"YWHAB;BCL2L1;PIK3CG;IL6RA;IL4RA",1
"Amoebiasis",100,1860,8,2,0.0648221898435593,"GNA15;CD14",1
"Endocrine and other factor-regulated calcium reabsorption",100,1860,8,2,0.0648221898435593,"DNM2;RAB11A",1
"Oxidative phosphorylation",100,1860,8,2,0.0648221898435593,"ATP6V0A2;SDHA",1
"JAK-STAT signaling pathway",100,1860,18,3,0.0683710429919371,"BCL2L1;IL6RA;IL4RA",1
"Transcriptional misregulation in cancer",100,1860,30,4,0.0736038980389998,"BCL2L1;SS18;CD14;TSPAN7",1
"Synaptic vesicle cycle",100,1860,10,2,0.0971770596721414,"ATP6V0A2;DNM2",1
"NF-kappa B signaling pathway",100,1860,11,2,0.114739119874811,"BCL2L1;CD14",1
"Notch signaling pathway",100,1860,13,2,0.151932625868514,"NUMB;NOTCH2",1
"Pantothenate and CoA biosynthesis",100,1860,3,1,0.152851913209512,"PPCDC",1
"Toxoplasmosis",100,1860,14,2,0.171320359515245,"BCL2L1;PIK3CG",1
"Th1 and Th2 cell differentiation",100,1860,15,2,0.191091032813137,"IL4RA;NOTCH2",1
"Collecting duct acid secretion",100,1860,4,1,0.198471088588644,"ATP6V0A2",1
"Fructose and mannose metabolism",100,1860,4,1,0.198471088588644,"PFKFB3",1
"Protein export",100,1860,4,1,0.198471088588644,"SEC61A1",1
"Protein processing in endoplasmic reticulum",100,1860,29,3,0.201879338323454,"SEC61A1;PDIA6;TRAM1",1
"Adrenergic signaling in cardiomyocytes",100,1860,16,2,0.211148736791893,"PIK3CG;ADRB2",1
"Apoptosis",100,1860,16,2,0.211148736791893,"BCL2L1;CTSF",1
"Breast cancer",100,1860,16,2,0.211148736791893,"NOTCH2;CSNK1A1",1
"Chemokine signaling pathway",100,1860,30,3,0.216132165021727,"PIK3CG;PREX1;GRK4",1
"Endocytosis",100,1860,45,4,0.220172608746076,"DNM2;RAB11A;GRK4;RAB31",1
"Parkinson disease",100,1860,5,1,0.241656913556928,"SDHA",1
"HIF-1 signaling pathway",100,1860,18,2,0.251786025185156,"IL6RA;PFKFB3",1
"Th17 cell differentiation",100,1860,18,2,0.251786025185156,"IL6RA;IL4RA",1
"Ras signaling pathway",100,1860,33,3,0.260018837253697,"RASAL3;BCL2L1;RGL2",1
