"rank","gene","score"
1,"Anxa3",307
2,"Arid1a",307
3,"Gng10",307
4,"Tanc2",307
5,"Il10ra",306
6,"Il6ra",306
7,"Frmd4a",305
8,"Grk4",305
9,"Synj2bp",305
10,"Arhgap5",304
11,"Stab1",304
12,"Coro1a",303
13,"Itgb5",303
14,"Pla2g15",303
15,"Sall1",303
16,"Srsf5",303
17,"Celf2",302
18,"Gm17644",302
19,"Lcp1",302
20,"Abca9",301
21,"Eif1",300
22,"Mtdh",300
23,"Ptprc",300
24,"Rab14",299
25,"Sgk1",299
26,"Actr2",298
27,"Zfp277",298
28,"Clic1",297
29,"Rnf13",297
30,"Skil",297
31,"Fscn1",296
32,"Git2",296
33,"Tacc1",296
34,"Jun",295
35,"Rasgrp3",294
36,"Lrrc3",293
37,"Irf5",292
38,"Fyb",291
39,"Tifab",289
40,"Vav1",289
41,"Dock10",288
42,"Dusp6",288
43,"Phyhd1",288
44,"Pros1",287
45,"Olfr613",286
46,"Picalm",286
47,"Rhob",284
48,"Eif4a2",283
49,"P4hb",283
50,"Tspan14",282
51,"Ywhae",281
52,"A230046K03Rik",280
53,"Btg2",280
54,"Alox5ap",279
55,"Nisch",279
56,"Pik3cg",279
57,"Ophn1",277
58,"Rin2",277
59,"Fli1",276
60,"Srsf2",276
61,"Commd8",275
62,"Rab3il1",274
63,"Syngr2",274
64,"Fam49b",273
65,"Hnrnph1",273
66,"Sec61a1",273
67,"Akna",272
68,"Dock2",272
69,"Gal3st4",272
70,"Cotl1",271
71,"Frmd4b",271
72,"Tmed10",271
73,"Cmtm7",270
74,"Cnbp",270
75,"Mgat4a",270
76,"Ociad1",270
77,"Rasal3",268
78,"Tmem176b",268
79,"Arf1",267
80,"P2ry6",267
81,"Sept2",267
82,"Sipa1",267
83,"St3gal6",267
84,"Vmn1r58",267
85,"Adrb2",266
86,"Cd300a",266
87,"Maf",265
88,"Akap13",264
89,"Zscan26",264
90,"AF251705",263
91,"Asph",263
92,"Gtf2h2",263
93,"Rab1",263
94,"Ski",263
95,"Tm9sf2",263
96,"Tnfrsf21",263
97,"Clk1",262
98,"Il6st",260
99,"Plod1",260
100,"Dennd4a",258
101,"Tns3",258
102,"Usp2",258
103,"Ddx17",257
104,"Nfam1",255
105,"Emr1",254
106,"Notch2",254
107,"Tmed2",254
108,"Numb",253
109,"Prex1",253
110,"Ss18",253
111,"Rhog",252
112,"Tmem86a",252
113,"Ywhab",252
114,"Atp6v0a2",251
115,"Dnm2",251
116,"Kif21b",251
117,"Rps6ka1",251
118,"Surf4",251
119,"Txnip",251
120,"Fus",250
121,"Mylip",250
122,"Slc9a9",250
123,"Cd14",248
124,"Nav3",248
125,"Snx18",248
126,"Btg1",247
127,"Cyb561a3",247
128,"Jmjd1c",247
129,"Prrc2c",247
130,"Reep5",247
131,"Sla",247
132,"Zfp706",247
133,"Hck",246
134,"Kmt2d",246
135,"Rtn4rl1",246
136,"Atp6ap2",245
137,"Atp6v0b",244
138,"Gna15",244
139,"Pald1",244
140,"Dock4",243
141,"Hps4",243
142,"Spata13",243
143,"Zfp710",243
144,"Itpripl1",242
145,"Tug1",242
146,"Ankrd44",240
147,"Dnmt3a",240
148,"Mycbp2",240
149,"Serinc1",240
150,"Dip2b",239
151,"Gm1821",239
152,"Cd34",238
153,"Ddx26b",238
154,"Ncoa3",238
155,"Bcl2l1",237
156,"Tpst2",237
157,"Csnk1a1",236
158,"Extl3",236
159,"Ppm1h",236
160,"Aup1",235
161,"Dtx4",235
162,"P2rx7",235
163,"Trappc9",235
164,"Dctn5",233
165,"Gm3002",233
166,"Ctsf",232
167,"Ncf2",232
168,"Smg1",232
169,"Clasp2",231
170,"Mapre1",231
171,"Rps21",231
172,"Susd3",231
173,"Acly",230
174,"Crybb1",230
175,"Ctc1",230
176,"Gfm2",229
177,"Snx17",229
178,"Fam102b",228
179,"Pik3r1",228
180,"Rab11a",228
181,"Wsb1",228
182,"Ptprj",227
183,"Tspan13",227
184,"Ntpcr",226
185,"Ppcdc",226
186,"Slc25a37",226
187,"Edem2",225
188,"Rgl2",224
189,"Csmd3",223
190,"Herc2",223
191,"Pnisr",223
192,"Tcf4",223
193,"Eng",222
194,"Fmnl1",222
195,"Gpr183",222
196,"Hps3",222
197,"Tspan7",222
198,"Ythdf2",222
199,"Arhgap27",221
200,"Mlxipl",221
201,"Pfkfb3",221
202,"Scaf11",221
203,"Snx29",221
204,"Mknk1",220
205,"Pdia6",220
206,"Tlr13",220
207,"Tram1",220
208,"Vapa",220
209,"Chd9",219
210,"Eef2k",219
211,"Kcnk6",219
212,"Pmepa1",219
213,"Atxn2l",218
214,"Pitpnc1",218
215,"Rab31",218
216,"Runx1",218
217,"Twf2",218
218,"Arl4c",217
219,"Lpar6",217
220,"Ppp1r9a",217
221,"Rbm5",217
222,"Tmed5",217
223,"Herpud1",216
224,"Il4ra",216
225,"Itgb1",216
226,"Ogt",216
227,"Ptbp1",216
228,"Abcc5",215
229,"Gm9159",215
230,"Nfatc1",215
231,"Padi2",214
232,"Rassf2",214
233,"Gcnt1",213
234,"Ldlrad4",213
235,"Tsc22d4",213
236,"Slc40a1",212
237,"Snrnp70",212
238,"Atp6v0a1",211
239,"Rogdi",211
240,"Syk",211
241,"Dbnl",210
242,"Pld1",210
243,"Pttg1ip",210
244,"Slc44a2",210
245,"Ubap2l",210
246,"Numa1",209
247,"Abcc3",208
248,"Nr3c1",208
249,"Rabac1",208
250,"Sdha",208
