"rank","gene","score"
1,"Akap13",153
2,"Asph",153
3,"Rasal3",153
4,"Ywhab",153
5,"Lrrc3",152
6,"Reep5",152
7,"Stab1",152
8,"Zfp706",152
9,"Gtf2h2",151
10,"Snx18",151
11,"Bcl2l1",150
12,"Frmd4b",150
13,"Fscn1",150
14,"Ociad1",150
15,"Pik3cg",150
16,"Sec61a1",150
17,"Atp6v0a2",149
18,"Serinc1",149
19,"St3gal6",149
20,"Wsb1",149
21,"A230046K03Rik",148
22,"Commd8",148
23,"Abca9",147
24,"AF251705",147
25,"Gna15",147
26,"Il6ra",147
27,"Mgat4a",147
28,"Ncf2",147
29,"Ophn1",147
30,"Slc9a9",147
31,"Usp2",147
32,"Sla",146
33,"Surf4",146
34,"Tug1",146
35,"Aup1",145
36,"Crybb1",145
37,"Cyb561a3",145
38,"Dock10",145
39,"Pald1",145
40,"Spata13",145
41,"Ss18",145
42,"Tns3",145
43,"Dnm2",144
44,"Picalm",144
45,"Ppm1h",144
46,"Txnip",144
47,"Cd300a",143
48,"Ctsf",143
49,"Mapre1",143
50,"Rab11a",143
51,"Adrb2",142
52,"Cd14",142
53,"Numb",142
54,"Pdia6",142
55,"Ski",142
56,"Snx17",142
57,"Tmem176b",142
58,"Gm1821",141
59,"Ppcdc",141
60,"Rtn4rl1",140
61,"Vapa",140
62,"Hps4",139
63,"Rogdi",139
64,"Cd34",138
65,"Dennd4a",138
66,"Il4ra",138
67,"Mlxipl",138
68,"Notch2",138
69,"Pfkfb3",138
70,"Tpst2",138
71,"Twf2",138
72,"Akna",137
73,"Kif21b",137
74,"Rps21",137
75,"Tram1",137
76,"Tspan7",137
77,"Pmepa1",136
78,"Prex1",136
79,"Prrc2c",136
80,"Sdha",136
81,"Susd3",136
82,"Aamp",135
83,"Ddx26b",135
84,"Fes",135
85,"Rgl2",135
86,"Tmed5",135
87,"Cbx3",134
88,"Dbnl",134
89,"Ddx17",134
90,"Dnajc7",134
91,"Grk4",134
92,"Pitpnc1",134
93,"Pttg1ip",134
94,"Rab31",134
95,"Set",134
96,"Synj2bp",134
97,"Tspan3",134
98,"Ythdf2",134
99,"Acly",133
100,"Csnk1a1",133
101,"Iffo1",133
102,"Itpripl1",133
103,"Ncoa3",133
104,"Ntpcr",133
105,"Ptprj",133
106,"Dnmt3a",132
107,"Itgb1",132
108,"P2rx7",132
109,"Ptbp1",132
110,"Slc16a6",132
111,"Tmem206",132
112,"Zfp277",132
113,"Dtx4",131
114,"Kdelr2",131
115,"Nfam1",131
116,"Edem2",130
117,"Gm17644",130
118,"Herpud1",130
119,"Pgd",130
120,"Scaf11",130
121,"Snrnp70",130
122,"Jmjd1c",129
123,"Ppib",128
124,"Psma3",128
125,"Tlr13",128
126,"Zfp710",128
127,"Ctc1",127
128,"Eng",127
129,"Fam102b",127
130,"Gpr84",127
131,"Tmcc3",127
132,"Ankrd44",126
133,"Arf4",126
134,"Ccnl2",126
135,"Cnot8",126
136,"Dip2b",126
137,"Extl3",126
138,"Fmnl1",126
139,"Mknk1",126
140,"Nr3c1",126
141,"Tsc22d4",126
142,"Tspan13",126
143,"Ubash3b",126
144,"Arglu1",125
145,"Arhgap27",125
146,"Gcnt1",125
147,"Mcfd2",125
148,"Tmem50b",125
149,"Bzw1",124
150,"Dctn5",124
151,"Fmnl3",124
152,"Lpar6",124
153,"Plekho1",124
154,"Slc44a2",124
155,"Pik3r1",123
156,"Tcf4",123
157,"Camk2d",122
158,"Cers2",122
159,"Ilk",122
160,"Kmt2d",122
161,"Ubl3",122
162,"Arl4c",121
163,"Gfm2",121
164,"Hnrnpm",121
165,"Hps3",121
166,"Nras",121
167,"Rnf167",121
168,"Syk",121
169,"Tecr",121
170,"Tubgcp5",121
171,"Xbp1",121
172,"Abcc5",120
173,"Atxn2l",120
174,"Etv5",120
175,"Irak2",120
176,"Nxf1",120
177,"Rabac1",120
178,"Rbm47",120
179,"Sft2d2",120
180,"Arhgef1",119
181,"Atp6v0a1",119
182,"Casp8",119
183,"Ldlrad4",119
184,"Mfap3",119
185,"Trappc9",119
186,"Dusp3",118
187,"G3bp1",118
188,"Herc2",118
189,"Mtpn",118
190,"Mycbp2",118
191,"Ralb",118
192,"Runx1",118
193,"Taok1",118
194,"Clec5a",117
195,"Idh3g",117
196,"Il10rb",117
197,"Itpr2",117
198,"Myadm",117
199,"Nek6",117
200,"Olfr613",117
201,"Pak2",117
202,"Arhgap4",116
203,"Dock4",116
204,"Hhex",116
205,"Hspa4",116
206,"Pisd",116
207,"Ppp1r9a",116
208,"Ubap2l",116
209,"Abcc3",115
210,"Gdi1",115
211,"Mboat7",115
212,"Pacsin2",115
213,"Papola",115
214,"Rassf2",115
215,"Rbm26",115
216,"Rptor",115
217,"Slc29a1",115
218,"Snx6",115
219,"Csnk1e",114
220,"Ik",114
221,"Itga6",114
222,"Kcnk6",114
223,"Pik3cd",114
224,"Rbm5",114
225,"Sash3",114
226,"Selk",114
227,"Slc25a37",114
228,"Tmem104",114
229,"Twf1",114
230,"Camk1d",113
231,"Clasp2",113
232,"Eef2k",113
233,"Gmeb1",113
234,"Gnaq",113
235,"Irf2bp2",113
236,"Mgat1",113
237,"Pnisr",113
238,"Ppp1r18",113
239,"Smg1",113
240,"Smox",113
241,"Acss1",112
242,"Dclre1c",112
243,"Ecscr",112
244,"Fkbp15",112
245,"Gpr183",112
246,"Klf13",112
247,"Mau2",112
248,"Rhoh",112
249,"Sesn1",112
250,"Stat6",112
251,"Cnpy3",111
252,"Cxxc5",111
253,"Nav3",111
254,"Nfatc1",111
255,"Ptp4a3",111
256,"Snx29",111
257,"Zfp263",111
258,"Glyr1",110
259,"Lyl1",110
260,"Nudt3",110
261,"Ogt",110
262,"Vmn1r58",110
263,"Ywhaq",110
264,"Akap8l",109
265,"Foxn3",109
266,"Gm3002",109
267,"Mta2",109
268,"Numa1",109
269,"Pnp",109
270,"Rp2h",109
271,"Sec13",109
272,"Slc12a9",109
273,"Tspyl1",109
274,"Wdfy3",109
275,"Arhgef40",108
276,"Chd7",108
277,"Hcfc1",108
278,"Mid1ip1",108
279,"Purb",108
280,"Scamp5",108
281,"Slc39a7",108
282,"Tex261",108
283,"Tmem170b",108
284,"Tor4a",108
285,"Azin1",107
286,"Cryl1",107
287,"Matr3",107
288,"Padi2",107
289,"Rreb1",107
290,"Slc40a1",107
291,"Api5",106
292,"Atraid",106
293,"Dapp1",106
294,"Fnbp1",106
295,"Frrs1",106
296,"Zbtb7a",106
297,"Atxn7l3b",105
298,"Gcn1l1",105
299,"Kdm5a",105
300,"Lrch1",105
301,"Npc1",105
302,"Osgep",105
303,"Pip5k1c",105
304,"U2surp",105
305,"Zc3h7a",105
306,"Agmo",104
307,"Cpsf3",104
308,"Cpsf6",104
309,"Pou2f2",104
310,"Prrc2a",104
311,"Snx13",104
312,"Tfe3",104
313,"Chtop",103
314,"Gpr155",103
315,"Klhl9",103
316,"Rnf7",103
317,"Tm2d2",103
318,"Zc3h11a",103
319,"Arrb2",102
320,"Chd9",102
321,"Gtf2a1",102
322,"Sh2b3",102
323,"Tbc1d5",102
324,"Ankfy1",101
325,"Denr",101
326,"Lifr",101
327,"Pip4k2a",101
328,"Tmem69",101
329,"Cdipt",100
330,"Gm16702",100
331,"Pld1",100
332,"Zfp871",100
333,"Zmynd8",100
334,"C5ar1",99
335,"Fchsd2",99
336,"Fnbp4",99
337,"Mfng",99
338,"Mtfr1l",99
339,"Bcas2",98
340,"Ccdc47",98
341,"Mapk1ip1l",98
342,"Rdx",98
343,"Ykt6",98
344,"Arhgap39",97
345,"Ganab",97
346,"Huwe1",97
347,"Rlim",97
348,"Rmi2",97
